Area,Mean,Min,Max,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity,Aspect Ratio,Status
0.361,35262.021,1032,65535,3.196,1.218,0.377,22.536,0.444,3.227,0.31,0.86,3.230769231,Apoptotic
0.422,25736.486,1357,62062,4.129,1.193,0.45,58.159,0.311,2.651,0.377,0.6,2.651111111,Apoptotic
0.292,28642.46,1365,65219,3.051,0.744,0.5,13.036,0.394,1.487,0.672,0.672,1.488,Apoptotic
0.199,24211.846,2345,48698,2.528,0.697,0.363,6.912,0.391,1.922,0.52,0.702,1.920110193,Apoptotic
0.193,27851.898,1450,65535,3.287,0.912,0.27,47.067,0.225,3.378,0.296,0.536,3.377777778,Apoptotic
0.228,21586.773,1992,53702,3.518,0.988,0.294,110.922,0.231,3.368,0.297,0.573,3.360544218,Apoptotic
0.203,5420.767,2160,7919,1.743,0.628,0.411,158.683,0.838,1.529,0.654,0.954,1.527980535,Apoptotic
0.155,45245.104,6919,65535,1.508,0.461,0.428,122.347,0.856,1.078,0.928,0.932,1.077102804,Apoptotic
0.438,28793.676,2148,65535,2.893,0.96,0.581,145.611,0.658,1.652,0.605,0.894,1.65232358,Apoptotic
0.22,33182.854,3008,61488,1.999,0.63,0.445,1.829,0.692,1.417,0.706,0.855,1.415730337,Apoptotic
0.282,29577.886,1546,55766,2.366,0.826,0.434,40.752,0.632,1.901,0.526,0.804,1.903225806,Apoptotic
0.108,41069.01,11738,59693,1.272,0.434,0.316,97.885,0.836,1.377,0.726,0.934,1.373417722,Apoptotic
0.197,27358.158,1422,56774,1.994,0.634,0.395,121.784,0.622,1.606,0.623,0.848,1.605063291,Apoptotic
0.174,36293.057,4313,60087,1.555,0.535,0.415,56.302,0.907,1.288,0.776,0.968,1.289156627,Apoptotic
0.302,4167.416,1285,7501,2.096,0.76,0.506,61.407,0.864,1.502,0.666,0.944,1.501976285,Apoptotic
0.301,25393.735,1410,56601,2.501,0.791,0.484,81.012,0.604,1.634,0.612,0.808,1.634297521,Apoptotic
0.223,29224.131,1771,59023,2.428,0.85,0.334,60.843,0.475,2.545,0.393,0.746,2.54491018,Apoptotic
0.301,36786.825,2301,64528,2.236,0.733,0.522,165.363,0.756,1.403,0.713,0.911,1.404214559,Apoptotic
0.1,6921.111,2249,12790,1.498,0.59,0.215,74.856,0.559,2.737,0.365,0.871,2.744186047,Apoptotic
0.16,53139.163,11497,65535,1.701,0.493,0.412,98.742,0.693,1.199,0.834,0.953,1.196601942,Apoptotic
0.176,2914.315,1052,4807,1.686,0.547,0.41,164.392,0.779,1.334,0.749,0.908,1.334146341,Apoptotic
0.089,4972.928,1582,9124,1.348,0.483,0.235,179.933,0.616,2.061,0.485,0.904,2.055319149,Apoptotic
0.153,30613.115,1418,51373,1.585,0.586,0.332,54.218,0.763,1.765,0.567,0.932,1.765060241,Apoptotic
0.155,40099.202,2000,65535,1.527,0.56,0.352,33.25,0.833,1.592,0.628,0.946,1.590909091,Apoptotic
0.218,3464.493,1679,5883,2.137,0.712,0.39,28.41,0.6,1.823,0.548,0.839,1.825641026,Apoptotic
0.246,2520.168,1068,5469,2.571,0.576,0.543,129.447,0.467,1.062,0.942,0.8,1.060773481,Apoptotic
0.378,18915.568,1257,44550,3.627,0.807,0.596,74.512,0.361,1.354,0.739,0.646,1.354026846,Apoptotic
0.157,30777.917,6738,54822,1.866,0.722,0.277,174.004,0.566,2.609,0.383,0.836,2.606498195,Apoptotic
0.127,31214.644,1474,60035,1.513,0.543,0.299,19.389,0.699,1.819,0.55,0.94,1.816053512,Apoptotic
0.096,28727.197,10674,36061,1.096,0.365,0.335,90,1,1.09,0.917,1,1.089552239,Dividing
0.13,29567.072,6754,43020,1.276,0.407,0.407,0,1,1,1,1,1,Dividing
0.224,17013.121,2249,28403,1.819,0.637,0.448,70.865,0.852,1.422,0.703,0.943,1.421875,Dividing
0.174,20420.29,2622,32856,1.653,0.548,0.403,121.469,0.798,1.36,0.735,0.931,1.359801489,Dividing
